fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Polygala stenoclada Benth. var. stenosepala Benth.,Polygala stenoclada,Polygala stenosepala,stenosepala,VARIETY
Seringia arborescens (W.T.Aiton)Druce,Seringia arborescens,Seringia platyphylla,,SPECIES
Ptilotus humilis (Nees) F. Muell. var. parviflorus Benth.,Ptilotus humilis,Ptilotus exiliflorus,parviflorus,VARIETY
Cyathostemon verrucosus Trudgen & Rye,Cyathostemon verrucosus,Baeckea verrucosa,,SPECIES
Isotoma axillaris Lindl,Isotoma axillaris,Lithotoma axillaris,,SPECIES
Utricularia monanthos Hook,Utricularia monanthos,Utricularia dichotoma,,SPECIES
Dendrobium stuartii F.M. Bail,Dendrobium stuartii,Dendrobium macrostachyum,,SPECIES
Cynanchum carnosum (R.Br.)Schltr.,Cynanchum carnosum,Vincetoxicum carnosum,,SPECIES
Pomaderris ferruginea Sieber var. canescens Benth.,Pomaderris ferruginea,Pomaderris canescens,canescens,VARIETY
Drosera peltata Sm. ex Willd. var. foliosa Benth.,Drosera peltata,Drosera hookeri,foliosa,VARIETY
Senecio glossanthus (Sond.) Belcher var. major,Senecio glossanthus,Erechtites glossantha,,SPECIES
Tephrosia purpurea (L.) Pers. var. longifolia Benth.,Tephrosia purpurea,Tephrosia brachyodon,longifolia,VARIETY
Eucalyptus pilularis Sm. var. pyriformis Maiden,Eucalyptus pilularis,Eucalyptus pyrocarpa,pyriformis,VARIETY
Josephinia eugeniae F.Muell. subsp. occidentalis,Josephinia eugeniae,Sesamum eugeniae,occidentalis,SUBSPECIES
Rhagodia eremaea Paul G.Wilson,Rhagodia eremaea,Chenopodium eremaeum,,SPECIES
Rhynchosia minima (L.) DC. var. australis (Benth.) Moore,Rhynchosia minima,Rhynchosia australis,australis,VARIETY
Asperula euryphylla Airy Shaw & Turrill var. tetraphylla Airy Shaw & Turrill,Asperula euryphylla,Asperula tetraphylla,tetraphylla,VARIETY
Prostanthera incisa R.Br. var. sieberi (Benth.) C.Moore & Betche,Prostanthera incisa,Prostanthera sieberi,sieberi,VARIETY
Cyathostemon gracilis Trudgen & Rye,Cyathostemon gracilis,Baeckea gracilis,,SPECIES
Clematis microphylla DC. var. leptophylla F.Muell.,Clematis microphylla,Clematis leptophylla,leptophylla,VARIETY
Hibbertia linearis R.Br. ex DC. var. obtusifolia (DC.) A.Gray,Hibbertia linearis,Hibbertia obtusifolia,obtusifolia,VARIETY
Adenanthos meisneri Lehm. ex Meisn. var. velutinus (Meisn.) Benth.,Adenanthos meisneri,Adenanthos velutinus,velutinus,VARIETY
Elythranthera emarginata (Lindl.) A.S. George,Elythranthera emarginata,Caladenia emarginata,,SPECIES
Hakea multilineata Meisn. var. grammatophylla (F.Muell.) Benth.,Hakea multilineata,Hakea grammatophylla,grammatophylla,VARIETY
Acacia insolita E. Pritz. subsp. efoliolata Maslin,Acacia insolita,Acacia adjutrices,efoliolata,SUBSPECIES
Sarcocornia quinqueflora (Bunge ex Ung.-Sternberg) A. J. Scott,Sarcocornia quinqueflora,Salicornia quinqueflora,,SPECIES
Portulaca conspicua Domin (1925),Portulaca conspicua,Portulaca cyclophylla,,SPECIES
Lindsaea ensifolia subsp. agatii (Brack.) K.U. Kramer,Lindsaea ensifolia,Lindsaea agatii,agatii,SUBSPECIES
Crypsinus simplicissimus (F. Muell.) S.B. Andrews,Crypsinus simplicissimus,Selliguea simplicissima,,SPECIES
Tylophora erecta F. Muell. ex Benth.,Tylophora erecta,Vincetoxicum erectum,,SPECIES
Acacia longifolia Paxton,Acacia longifolia,Acacia dentifera,,SPECIES
Ficus aculeata A. Cunn. ex Miq.,Ficus aculeata,Ficus opposita,,SPECIES
Caladenia patersonii var. longicauda (Lindl.) R.S. Rogers,Caladenia patersonii,Caladenia longicauda,longicauda,VARIETY
Pseudochaetochloa australiensis Hitchc.,Pseudochaetochloa australiensis,Cenchrus arnhemicus,,SPECIES
Arthropodium fimbriatum R. Br.,Arthropodium fimbriatum,Dichopogon fimbriatus,,SPECIES
Dipodium punctatum R. Br.,Dipodium punctatum,Dipodium squamatum,,SPECIES
Tylophora grandiflora R. Br.,Tylophora grandiflora,Vincetoxicum grandiflorum,,SPECIES
Urochloa whiteana (Domin) R.D. Webster,Urochloa whiteana,Brachiaria whiteana,,SPECIES
Callitris preissii var. verrucosa (A. Cunn. ex Mirb.) J. Silba,Callitris preissii,Callitris verrucosa,verrucosa,VARIETY
Vittadinia arida N.T. Burb.,Vittadinia arida,Peripleura arida,,SPECIES
Stylidium spinulosum subsp. montanum Carlquist,Stylidium spinulosum,Stylidium spathulatum,montanum,SUBSPECIES
Stylidium luteum subsp. glaucifolium Carlquist,Stylidium luteum,Stylidium angustifolium,glaucifolium,SUBSPECIES
Elaeocarpus grandis F. Muell.,Elaeocarpus grandis,Elaeocarpus angustifolius,,SPECIES
Stylidium glaucum subsp. angustifolium Carlquist,Stylidium glaucum,Stylidium angustifolium,angustifolium,SUBSPECIES
Einadia nutans (R.Br.) A.J.Scott subsp. linifolia,Einadia nutans,Chenopodium nutans,linifolia,SUBSPECIES
Chrysanthemoides monilifera (L.) Norl. subsp. rotundata (DC.) Norl.,Chrysanthemoides monilifera,Osteospermum moniliferum,rotundata,SUBSPECIES
Swainsona cyclocarpa F.Muell. var. paradoxa,Swainsona cyclocarpa,Swainsona paradoxa,paradoxa,VARIETY
Cynanchum brachystelmoides P.I.Forst.,Cynanchum brachystelmoides,Vincetoxicum brachystelmoides,,SPECIES
Merremia umbellata (L.) Hallier f.,Merremia umbellata,Camonea umbellata,,SPECIES
Desmodium heterocarpon (L.) DC. subsp. heterocarpon,Desmodium heterocarpon,Grona heterocarpa,heterocarpon,SUBSPECIES
Paraceterach reynoldsii (F.Muell.) Tindale,Paraceterach reynoldsii,Pellaea reynoldsii,,SPECIES
Halophila ovalis (R.Br.) Hook.f. subsp. australis (Doty & B.C.Stone) den Hartog,Halophila ovalis,Halophila australis,australis,SUBSPECIES
Boerhavia diffusa L. var. tetrandra (G.Forst.) Heimerl,Boerhavia diffusa,Boerhavia tetrandra,tetrandra,VARIETY
Sonchus asper (L.) Hill subsp. nymanii (Tineo & Guss.) Hegi,Sonchus asper,Sonchus glaucescens,nymanii,SUBSPECIES
Senecio hypoleucus Muschl.,Senecio hypoleucus,Dendrosenecio adnivalis,,SPECIES
Merremia aegyptia (L.) Urb.,Merremia aegyptia,Distimake aegyptius,,SPECIES
Merremia incisa Hallier f.,Merremia incisa,Ipomoea incisa,,SPECIES
Portulaca intraterranea J.M.Black,Portulaca intraterranea,Portulaca pilosa,,SPECIES
Paspalidium spartellum S.T.Blake,Paspalidium spartellum,Setaria spartella,,SPECIES
Luffa saccata F.Muell. ex Naudin,Luffa saccata,Luffa graveolens,,SPECIES
Melaleuca lateriflora Benth. subsp. acutifolia Barlow & Craven,Melaleuca lateriflora,Melaleuca acutifolia,acutifolia,SUBSPECIES
Cordia wallichii G.Don,Cordia wallichii,Cordia lanata,,SPECIES
Acacia sclerophylla Lindl. var. lissophylla J.M.Black,Acacia sclerophylla,Acacia ancistrophylla,lissophylla,VARIETY
Atriplex leptocarpa F.Muell. var. turbinata,Atriplex leptocarpa,Atriplex turbinata,turbinata,VARIETY
Senecio hispidulus A.Rich. var. dissectus,Senecio hispidulus,Erechtites bathurstiana,dissectus,VARIETY
Eucalyptus redunca angustifolia,Eucalyptus redunca,Eucalyptus xanthonema,angustifolia,VARIETY
Eucalyptus oleosa glauca,Eucalyptus oleosa,Eucalyptus transcontinentalis,glauca,VARIETY
Eucalyptus oleosa,Eucalyptus oleosa,Eucalyptus moluccana,,SPECIES
Eucalyptus salubris glauca,Eucalyptus salubris,Eucalyptus ravida,glauca,VARIETY
Melaleuca lateriflora acutifolia,Melaleuca lateriflora,Melaleuca acutifolia,acutifolia,VARIETY
Eucalyptus redunca elata,Eucalyptus redunca,Eucalyptus wandoo,elata,VARIETY
Acacia retinodes uncidfolia,Acacia retinodes,Acacia uncifolia,uncifolia,VARIETY
Boronia lanuginosa brevicalyx,Boronia lanuginosa,Boronia oxyantha,brevicalyx,VARIETY
Indigofera pratensis coriacea,Indigofera pratensis,Indigofera scabrella,coriacea,VARIETY
Eucalyptus pauciflora nana,Eucalyptus pauciflora,Eucalyptus gregsoniana,nana,VARIETY
Eucalyptus obtusiflora dendromorpha,Eucalyptus obtusiflora,Eucalyptus dendromorpha,dendromorpha,VARIETY
Beaufortia decussata,Beaufortia decussata,Melaleuca transversa,,SPECIES
Melaleuca cardiophylla longistaminea,Melaleuca cardiophylla,Melaleuca longistaminea,longistaminea,VARIETY
Beaufortia macrostemon incana,Beaufortia macrostemon,Melaleuca cinerea,incana,VARIETY
Melaleuca nematophylla,Melaleuca nematophylla,Melaleuca filifolia,,SPECIES
Pultenaea verruculosa brachyphylla,Pultenaea verruculosa,Pultenaea brachyphylla,brachyphylla,VARIETY
Panicum effusum simile,Panicum effusum,Panicum simile,simile,VARIETY
Eucalyptus incrassata costata,Eucalyptus incrassata,Eucalyptus costata,costata,VARIETY
Boronia ramosa anethifolia,Boronia ramosa,Cyanothamnus ramosus,anethifolia,VARIETY
Eucalyptus dealbata chloroclada,Eucalyptus dealbata,Eucalyptus chloroclada,chloroclada,VARIETY
Einadia trigonos stellulata,Einadia trigonos,Chenopodium trigonon,stellulata,SUBSPECIES
Eucalyptus redunca oxymitra,Eucalyptus redunca,Eucalyptus flavida,oxymitra,VARIETY
Eucalyptus rossii macrorhyncha,Eucalyptus rossii,Eucalyptus racemosa,,SPECIES
Melaleuca acacioides angustifolia,Melaleuca acacioides,Melaleuca citrolens,angustifolia,VARIETY
Beaufortia elegans minor,Beaufortia elegans,Melaleuca scitula,minor,VARIETY
Goodenia filiformis pulchella,Goodenia filiformis,Goodenia pulchella,pulchella,VARIETY
Swainsona beasleyana elegantoides,Swainsona beasleyana,Swainsona elegantoides,elegantoides,SUBSPECIES
Acacia bivenosa wayi,Acacia bivenosa,Acacia cupularis,wayi,SUBSPECIES
Melaleuca linariifolia trichostachya,Melaleuca linariifolia,Melaleuca trichostachya,trichostachya,VARIETY
Atriplex prostrata,Atriplex prostrata,Atriplex pumilio,,SPECIES
Gomphrena lanata,Gomphrena lanata,Gomphrena brownii,,SPECIES
Ptilotus latifolius latifolius,Ptilotus latifolius,Ptilotus chamaecladus,,SPECIES
Swainsona cyclocarpa paradoxa,Swainsona cyclocarpa,Swainsona paradoxa,paradoxa,VARIETY
Melaleuca viridiflora rubiflora,Melaleuca viridiflora,Melaleuca quinquenervia,rubiflora,VARIETY
Amphipogon caricinus sericeus,Amphipogon caricinus,Amphipogon sericeus,sericeus,VARIETY
Polygala linariifolia Poir.,Polygala linariifolia,Polygala glomerata,,SPECIES
Pimelea suaveolens Meisn. var. tinctoria (Meisn.) Benth.,Pimelea suaveolens,Pimelea tinctoria,tinctoria,VARIETY
Rostellularia adscendens (R.Br.) R.M.Barker subsp. adscendens   var. latifolia,Rostellularia adscendens,Justicia adscendens,latifolia,VARIETY
Dipteracanthus australasicus F.Muell. subsp. dalyensis,Dipteracanthus australasicus,Ruellia australasica,dalyensis,SUBSPECIES
Acacia coolgardiensis Maiden subsp. effusa,Acacia coolgardiensis,Acacia effusifolia,effusa,SUBSPECIES
Phebalium lepidotum (Turcz.) Paul G.Wilson var. obovatum,Phebalium lepidotum,Phebalium obovatum,obovatum,VARIETY
Olearia picridifolia (F.Muell.) Benth.,Olearia picridifolia,Muellerolaria picridifolia,,SPECIES
Drosera lanata K.Kondo,Drosera lanata,Drosera ordensis,,SPECIES
Sersalisia unmackiana (F.M.Bailey) Domin,Sersalisia unmackiana,Pouteria unmackiana,,SPECIES
Deyeuxia densa Benth.,Deyeuxia densa,Calamagrostis austrodensa,,SPECIES
Asterolasia correifolia (A.Juss.) Benth. var. muelleri Maiden & Betche,Asterolasia correifolia,Asterolasia asteriscophora,muelleri,VARIETY
Cleome gynandra L.,Cleome gynandra,Gynandropsis gynandra,,SPECIES
Cephalomanes bauerianum P.S.Green,Cephalomanes bauerianum,Callistopteris baueriana,,SPECIES
Argyrodendron actinophyllum (C.Moore) Edlin,Argyrodendron actinophyllum,Heritiera actinophylla,,SPECIES
Acacia aulacocarpa A.Cunn. ex Benth. var. brevifolia,Acacia aulacocarpa,Acacia lazaridis,brevifolia,VARIETY
Caladenia filamentosa R.Br. var. tentaculata R.S.Rogers,Caladenia filamentosa,Caladenia capillata,tentaculata,VARIETY
Althenia australis (J.Drumm. ex Harv.) Asch.,Althenia australis,Lepilaena australis,,SPECIES
Urochloa subquadripara (Trin.) R.D.Webster,Urochloa subquadripara,Brachiaria distachya,,SPECIES
Hakea ulicina R.Br. var. latifolia,Hakea ulicina,Hakea repullulans,latifolia,VARIETY
Cucumis picrocarpus F.Muell.,Cucumis picrocarpus,Cucumis melo,,SPECIES
Megathyrsus maximus coloratus,Megathyrsus maximus,Panicum maximum,coloratus,VARIETY
Grevillea thelemanniana R. Br. ex Meisn.,Grevillea thelemanniana,Grevillea wilsonii,,SPECIES
Hymenophyllum moorei Bak.,Hymenophyllum moorei,Hymenophyllum pumilum,,SPECIES
Melaleuca ericifolia var. erubescens,Melaleuca ericifolia,Melaleuca diosmatifolia,erubescens,VARIETY
Monogramma dareicarpa,Monogramma dareicarpa,Haplopteris dareicarpa,,SPECIES
Pittosporum nativitatis,Pittosporum nativitatis,Pittosporum ferrugineum,,SPECIES
Gompholobium gairdnerium,Gompholobium gairdnerium,Gompholobium gairdnerianum,,SPECIES
Fimbristylis tomentosa,Fimbristylis tomentosa,Fimbristylis dichotoma,,SPECIES
Flickingeria clementsii,Flickingeria clementsii,Dendrobium clementsii,,SPECIES
Fimbristylis velata R. Br.,Fimbristylis velata,Fimbristylis squarrosa,,SPECIES
Beaufortia orbifolia F. Muell.,Beaufortia orbifolia,Melaleuca orbifolia,,SPECIES
Bauhinia hookeri F. Muell.,Bauhinia hookeri,Lysiphyllum hookeri,,SPECIES
Poa fax Willis & Court,Poa fax,Neuropoa fax,,SPECIES
Regelia inops Schau.,Regelia inops,Melaleuca inops,,SPECIES
Eremaea acutifolia F. Muell.,Eremaea acutifolia,Melaleuca acrifolia,,SPECIES
Hibbertia glaberrima Gilg,Hibbertia glaberrima,Hibbertia subvaginata,,SPECIES
Chamaecytisus palmensis (Christ) Bisby & Nicholls,Chamaecytisus palmensis,Chamaecytisus prolifer,,SPECIES
Diploglottis australis (Hook.) Radlk.,Diploglottis australis,Diploglottis cunninghamii,,SPECIES
Hybanthus aurantiacus (Benth.) F.Muell. ex Benth.,Hybanthus aurantiacus,Afrohybanthus aurantiacus,,SPECIES
Bossiaea rufa R.Br. var. oxyclada (Turcz.) Benth.,Bossiaea rufa,Bossiaea oxyclada,oxyclada,VARIETY
Leucophyta brownii Cass. var. candidissima Steetz,Leucophyta brownii,Calocephalus brownii,candidissima,VARIETY
Santalum lanceolatum,Santalum lanceolatum,Santalum acuminatum,,SPECIES
Hydrocotyle laxiflora,Hydrocotyle laxiflora,Hydrocotyle nepalensis,,SPECIES
Fimbristylis depauperata,Fimbristylis depauperata,Fimbristylis dichotoma,,SPECIES
Syzygium wilsonii subsp. cryptophebium,Syzygium wilsonii,Syzygium cryptophlebium,cryptophlebium,SUBSPECIES
Jagera javanica subsp. australiana,Jagera javanica,Jagera madida,australiana,SUBSPECIES
Symplocos stawellii var. stawellii,Symplocos stawellii,Symplocos cochinchinensis,,SPECIES
Pultenaea villosa,Pultenaea villosa,Aotus ericoides,,SPECIES
Blechnum ambiguum C.Presl,Blechnum ambiguum,Parablechnum ambiguum,,SPECIES
Ophioglossum gramineum R.Br.,Ophioglossum gramineum,Ophioglossum coriaceum,,SPECIES
Allamanda cathartica var. schottii,Allamanda cathartica,Allamanda schottii,schottii,VARIETY
Microsorum scolopendria,Microsorum scolopendria,Phymatosorus scolopendria,,SPECIES
Bubbia queenslandiana var. queenslandiana,Bubbia queenslandiana,Zygogynum queenslandianum,,SPECIES
Lastreopsis tinarooensis Tindale,Lastreopsis tinarooensis,Parapolystichum tinarooense,,SPECIES
Neorites kevedianus L.S. Sm.,Neorites kevedianus,Neorites kevediana,,SPECIES
Verreauxia dyeri E. Pritz. ex Hemsl.,Verreauxia dyeri,Verreauxia villosa,,SPECIES
Acacia brunioides subsp. gordonii Tindale,Acacia brunioides,Acacia gordonii,gordonii,SUBSPECIES
Eucalyptus corticosa L.A.S. Johnson,Eucalyptus corticosa,Eucalyptus aromaphloia,,SPECIES
Melastoma affine D. Don,Melastoma affine,Melastoma malabathricum,,SPECIES
Pittosporum ligustrifolium A. Cunn. ex Loud.,Pittosporum ligustrifolium,Pittosporum phillyraeoides,,SPECIES
Crotalaria ramosissima Roxb.,Crotalaria ramosissima,Crotalaria pellita,,SPECIES
Phyllanthus simplex Retz.,Phyllanthus simplex,Phyllanthus virgatus,,SPECIES
Paspalidium udum S.T. Blake,Paspalidium udum,Setaria uda,,SPECIES
Goodenia stephensonii F.Muell.,Goodenia stephensonii,Goodenia stephensoni,,SPECIES
Drosera auriculata (Backh.) Planch. ex,Drosera auriculata,Drosera peltata,,SPECIES
Hybanthus monopetalus (Roem. & Schult.) Domin,Hybanthus monopetalus,Pigea monopetala,,SPECIES
Melaleuca armillaris var. tenuifolia Benth.,Melaleuca armillaris,Melaleuca diosmatifolia,tenuifolia,VARIETY
Baeckea gunniana var. latifolia Benth.,Baeckea gunniana,Baeckea latifolia,latifolia,VARIETY
Crypsinus simplicissimus (F.Muell.) S.B.Andrews,Crypsinus simplicissimus,Selliguea simplicissima,,SPECIES
Stylidium leptorrhizum var. pilosum,Stylidium leptorrhizum,Stylidium leptorhizum,pilosum,VARIETY
Lantana camara var. splendens,Lantana camara,Lantana splendens,splendens,VARIETY
Cyperus tenuiflorus,Cyperus tenuiflorus,Cyperus longus,,SPECIES
Trymalium spatulatum,Trymalium spatulatum,Trymalium floribundum,,SPECIES
Lamarchea hakeifolia hakeifolia,Lamarchea hakeifolia,Melaleuca hakeifolia,hakeifolia,VARIETY
Avicennia marina var. resinifera (G. Forst.) Bakh.,Avicennia marina,Avicennia eucalyptifolia,resinifera,VARIETY
Rinorea bengalensis (Wall.) Gagnep. in Humbert,Rinorea bengalensis,Rinorea wallichiana,,SPECIES
Drosera lanata Kondô,Drosera lanata,Drosera ordensis,,SPECIES
Rhyncharrhena linearis (Decne.) K.L. Wilson,Rhyncharrhena linearis,Vincetoxicum lineare,,SPECIES
Verbena officinalis subsp. halei (Small) S.C. Barber,Verbena officinalis,Verbena halei,halei,SUBSPECIES
Stylidium emarginatum subsp. decipiens,Stylidium emarginatum,Stylidium decipiens,decipiens,SUBSPECIES
Eremophila graciliflora,Eremophila graciliflora,Eremophila longifolia,,SPECIES
Sanguisorba minor subsp. minor,Sanguisorba minor,Poterium sanguisorba,minor,SUBSPECIES
Psidium cattleyanum var. littorale,Psidium cattleyanum,Psidium cattleianum,littorale,VARIETY
Diuris sulphurea var. brevifolia,Diuris sulphurea,Diuris brevifolia,brevifolia,VARIETY
Dinebra decipiens var. decipiens,Dinebra decipiens,Leptochloa decipiens,,SPECIES
Coleanthera coelophylla,Coleanthera coelophylla,Styphelia coelophylla,,SPECIES
Heterozostera polychlamys Kuo 2005,Heterozostera polychlamys,Zostera polychlamys,,SPECIES
Setaria pumila (Poir.) Roem. & Schult. subsp. pumila,Setaria pumila,Setaria helvola,pumila,SUBSPECIES
Lamarchea hakeifolia Gaudich. var. hakeifolia,Lamarchea hakeifolia,Melaleuca hakeifolia,hakeifolia,VARIETY
Olearia macdonnellensis D.A.Cooke,Olearia macdonnellensis,Landerolaria macdonnellensis,,SPECIES
Drosera macrantha Endl. var. minor Benth.,Drosera macrantha,Drosera subhirtella,minor,VARIETY
Swainsona microphylla A.Gray subsp. affinis,Swainsona microphylla,Swainsona affinis,affinis,SUBSPECIES
Arthropodium strictum (R.Br.) Baker,Arthropodium strictum,Dichopogon strictus,,SPECIES
Melaleuca viridiflora Sol. ex Gaertn. var. rubriflora,Melaleuca viridiflora,Melaleuca quinquenervia,rubriflora,VARIETY
Acacia bivenosa DC. subsp. wayi,Acacia bivenosa,Acacia cupularis,wayi,SUBSPECIES
Solanum physalifolium Rusby var. nitidibaccatum,Solanum physalifolium,Solanum nitidibaccatum,nitidibaccatum,VARIETY
Juncus bufonius L. var. fasciculatus W.D.J.Koch,Juncus bufonius,Juncus ranarius,fasciculatus,VARIETY
Oreomyrrhis eriopoda Hook.f.,Oreomyrrhis eriopoda,Chaerophyllum eriopodum,,SPECIES
Gentiana bredboensis L.G.Adams,Gentiana bredboensis,Gentiana baeuerlenii,,SPECIES
Bubbia queenslandiana Vink subsp. queenslandiana,Bubbia queenslandiana,Zygogynum queenslandianum,,SPECIES
Corymbia hylandii (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson subsp. peninsularis K.D.Hill & L,Corymbia hylandii,Corymbia stockeri,peninsularis,SUBSPECIES
Zieria laevigata Bonpl. var. laxiflora,Zieria laevigata,Zieria laxiflora,laxiflora,VARIETY
Schoenus ericetorum var. ornithopodioides KÃ¼k.,Schoenus ericetorum,Schoenus ornithopodioides,ornithopodioides,VARIETY
Fumaria officinalis subsp. wirtgenii,Fumaria officinalis,Fumaria wirtgenii,wirtgenii,SUBSPECIES
Zeuxine polygonoides,Zeuxine polygonoides,Rhomboda polygonoides,,SPECIES
Eria irukandjiana,Eria irukandjiana,Bryobium irukandjianum,,SPECIES
Caladenia carnea var. attenuata,Caladenia carnea,Caladenia attenuata,attenuata,VARIETY
Carex pyrenaica cephalotes,Carex pyrenaica,Carex cephalotes,cephalotes,VARIETY
Senecio macranthus C.B. Clarke,Senecio macranthus,Ligularia japonica,,SPECIES
Olearia lirata (Sims) Hutchinson,Olearia lirata,Olearia lyrata,,SPECIES
Phyllanthus minutiflorus F. Muell. & Tate,Phyllanthus minutiflorus,Synostemon trachyspermus,,SPECIES
Leucopogon pimeleoides A. Cunn. ex DC.,Leucopogon pimeleoides,Leucopogon lanceolatus,,SPECIES
Baumea teretifolia Palla,Baumea teretifolia,Machaerina teretifolia,,SPECIES
Lycopodiella lateralis (R. Br.) B. Ollg.,Lycopodiella lateralis,Lateristachys lateralis,,SPECIES
Scleria pygmaea R. Br.,Scleria pygmaea,Diplacrum pygmaeum,,SPECIES
Leucopogon parviflorus (H. Andrews) Lindl.,Leucopogon parviflorus,Leptecophylla parvifolia,,SPECIES
Baumea juncea Palla,Baumea juncea,Machaerina juncea,,SPECIES
Drosera petiolaris Sieber ex C. Presl,Drosera petiolaris,Drosera peltata,,SPECIES
Baumea acuta Palla,Baumea acuta,Machaerina acuta,,SPECIES
Orobanche cernua f. australiana (F. Muell.) Beck,Orobanche cernua,Orobanche australiana,australiana,FORM
Stackhousia aspericocca f. incrassata Pamp.,Stackhousia aspericocca,Stackhousia monogyna,incrassata,FORM
Drosera micrantha Lehm.,Drosera micrantha,Drosera paleacea,,SPECIES
Grevillea vestita (Endl.) Meisn. var. angustata Meisn.,Grevillea vestita,Grevillea curviloba,angustata,VARIETY
Caladenia filamentosa R.Br. var. pallens Benth.,Caladenia filamentosa,Caladenia denticulata,pallens,VARIETY
Acacia leptoneura Benth. var. pungens Meisn.,Acacia leptoneura,Acacia acellerata,pungens,VARIETY
Eucalyptus mitchelliana Cambage,Eucalyptus mitchelliana,Eucalyptus mitchelli,,SPECIES
Gompholobium grandiflorum Andrews,Gompholobium grandiflorum,Gompholobium polymorphum,,SPECIES
Dillwynia parvifolia var. trichopoda Blakely,Dillwynia parvifolia,Dillwynia retorta,trichopoda,VARIETY
Callitris intratropica R.T.Baker & H.G.Smith,Callitris intratropica,Callitris columellaris,,SPECIES
Olearia ciliata (Benth.) F. Muell.,Olearia ciliata,Vicinia ciliata,,SPECIES
Leucopogon clelandii Cheel,Leucopogon clelandii,Styphelia clelandii,,SPECIES
Astroloma xerophyllum (DC.) Sonder,Astroloma xerophyllum,Styphelia xerophylla,,SPECIES
Rubus parviflorus L.,Rubus parviflorus,Rubus parvifolius,,SPECIES
Rutidosis leptorhynchoides F.Muell.,Rutidosis leptorhynchoides,Rutidosis leptorrhynchoides,,SPECIES
Acacia longifolia subsp. sophorae (Labill.) ourt,Acacia longifolia,Acacia sophorae,sophorae,SUBSPECIES
Desmodium gangeticum (L.)DC.,Desmodium gangeticum,Pleurolobus gangeticus,,SPECIES
Galactia tenuiflora (Willd.)Wight & Arn.,Galactia tenuiflora,Galactia striata,,SPECIES
Hybanthus enneaspermus (L.) F. Muell.,Hybanthus enneaspermus,Afrohybanthus enneaspermus,,SPECIES
Rhodomyrtus canescens C.T. White,Rhodomyrtus canescens,Rhodomyrtus trineura,,SPECIES
Rhodamnia spongiosa (F.M. Bailey) Domin,Rhodamnia spongiosa,Rhodamnia glauca,,SPECIES
Merremia kimberleyensis,Merremia kimberleyensis,Distimake kimberleyensis,,SPECIES
Schizachyrium mitchelliana,Schizachyrium mitchelliana,Schizachyrium mitchellianum,,SPECIES
Leucopogon parviflorus Lindl.,Leucopogon parviflorus,Leptecophylla parvifolia,,SPECIES
Cheilanthes tenuifolia var. sieberi,Cheilanthes tenuifolia,Cheilanthes sieberi,sieberi,VARIETY
Caladenia carnea var. gracillima,Caladenia carnea,Caladenia gracillima,gracillima,VARIETY
Amyema subcapitata,Amyema subcapitata,Amyema subcapitatum,,SPECIES
Sauropus stenocladus subsp. pinifolius,Sauropus stenocladus,Synostemon pinifolius,pinifolius,SUBSPECIES
Acacia retinodes Schltdl. var. uncifolia J.M.Black,Acacia retinodes,Acacia uncifolia,uncifolia,VARIETY
Phebalium squamulosum Vent. subsp. verrucosum,Phebalium squamulosum,Phebalium verrucosum,verrucosum,SUBSPECIES
Hemigraphis primulifolia (Nees) Fern.-Vill.,Hemigraphis primulifolia,Strobilanthes primulifolia,,SPECIES
Eutaxia empetrifolia Schltdl. var. diffusa,Eutaxia empetrifolia,Eutaxia microphylla,,SPECIES
Desmodium velutinum (Willd.) DC. subsp. velutinum,Desmodium velutinum,Polhillides velutina,velutinum,SUBSPECIES
Acacia coriacea DC. var. angustior Maiden,Acacia coriacea,Acacia sericophylla,angustior,VARIETY
Baeckea utilis F.Muell. ex Miq. var. latifolia,Baeckea utilis,Baeckea latifolia,latifolia,VARIETY
Acacia spectabilis A.Cunn. ex Benth. var. stuartii Benth.,Acacia spectabilis,Pararchidendron pruinosum,stuartii,VARIETY
Daviesia benthamii Meisn. subsp. acanthoclona (F.Muell.) Crisp,Daviesia benthamii,Daviesia aphylla,acanthoclona,SUBSPECIES
Tylophora williamsii P.I.Forst.,Tylophora williamsii,Vincetoxicum williamsii,,SPECIES
Beaufortia micrantha Schauer var. micrantha,Beaufortia micrantha,Melaleuca micrantha,micrantha,VARIETY
Swainsona beasleyana F.Muell. subsp. elegantoides,Swainsona beasleyana,Swainsona elegantoides,elegantoides,SUBSPECIES
Eucalyptus seeana Maiden var. constricta Blakely,Eucalyptus seeana,Eucalyptus bancroftii,constricta,VARIETY
Cassytha aurea J.Z.Weber var. candida J.Z.Weber,Cassytha aurea,Cassytha candida,candida,VARIETY
Digitaria fumida S.T.Blake,Digitaria fumida,Digitaria breviglumis,,SPECIES
Tetracarpaea tasmannica Hook.,Tetracarpaea tasmannica,Tetracarpaea tasmanica,,SPECIES
Deyeuxia mckiei Vickery,Deyeuxia mckiei,Calamagrostis mckiei,,SPECIES
Carex pumila Thunb. var. bichenoviana,Carex pumila,Carex bichenoviana,bichenoviana,VARIETY
Eucalyptus falcata Turcz. var. ecostata Maiden,Eucalyptus falcata,Eucalyptus ecostata,ecostata,VARIETY
Caladenia carnea R.Br. var. pygmaea R.S.Rogers,Caladenia carnea,Caladenia pygmaea,pygmaea,VARIETY
