fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Leucopogon esquamatus,Leucopogon esquamatus,Styphelia esquamata,,SPECIES
Hordeum vulgare var. nutans (Rode) Alef.,Hordeum vulgare,Hordeum distichon,nutans,VARIETY
Einadia nutans,Einadia nutans,Chenopodium nutans,,SPECIES
Senecio glossanthus,Senecio glossanthus,Erechtites glossantha,,SPECIES
Microlaena stipoides var. stipoides,Microlaena stipoides,Ehrharta stipoides,stipoides,SUBSPECIES
Leucopogon attenuatus,Leucopogon attenuatus,Styphelia attenuata,,SPECIES
Leucopogon exolasius,Leucopogon exolasius,Styphelia exolasia,,SPECIES
Callistemon shiressii,Callistemon shiressii,Melaleuca shiressii,,SPECIES
Desmodium gunnii,Desmodium gunnii,Pullenia gunnii,,SPECIES
Blechnum neohollandicum,Blechnum neohollandicum,Doodia aspera,,SPECIES
Paspalidium jubiflorum,Paspalidium jubiflorum,Setaria jubiflora,,SPECIES
Einadia nutans subsp. nutans,Einadia nutans,Chenopodium nutans,nutans,SUBSPECIES
Tasmannia insipida,Tasmannia insipida,Drimys insipida,,SPECIES
Elaeocarpus grandis,Elaeocarpus grandis,Elaeocarpus angustifolius,,SPECIES
Leucopogon fletcheri subsp. fletcheri,Leucopogon fletcheri,Styphelia fletcheri,,SPECIES
Senecio bathurstianus,Senecio bathurstianus,Erechtites bathurstiana,,SPECIES
Solori involuta,Solori involuta,Derris involuta,,SPECIES
Senecio prenanthoides,Senecio prenanthoides,Erechtites prenanthoides,,SPECIES
Phyla canescens,Phyla canescens,Phyla nodiflora,,SPECIES
Tylophora paniculata,Tylophora paniculata,Vincetoxicum paniculatum,,SPECIES
Landoltia punctata,Landoltia punctata,Spirodela punctata,,SPECIES
Deyeuxia quadriseta,Deyeuxia quadriseta,Calamagrostis quadriseta,,SPECIES
Paspalidium distans,Paspalidium distans,Setaria distans,,SPECIES
Sida cunninghamii,Sida cunninghamii,Sida pedunculata,,SPECIES
Einadia hastata,Einadia hastata,Chenopodium robertianum,,SPECIES
Aira elegantissima,Aira elegantissima,Aira elegans,,SPECIES
Leucopogon melaleucoides,Leucopogon melaleucoides,Acrothamnus melaleucoides,,SPECIES
Rumex brownii,Rumex brownii,Rumex pulcher,,SPECIES
Eucalyptus mackintii,Eucalyptus mackintii,Eucalyptus mackintyi,,SPECIES
Rhynchospora brownii,Rhynchospora brownii,Rhynchospora rugosa,,SPECIES
Rhagodia spinescens,Rhagodia spinescens,Chenopodium spinescens,,SPECIES
Einadia nutans subsp. linifolia,Einadia nutans,Chenopodium nutans,linifolia,SUBSPECIES
Leucopogon leptospermoides,Leucopogon leptospermoides,Styphelia leptospermoides,,SPECIES
Eucalyptus sparsifolia,Eucalyptus sparsifolia,Eucalyptus oblonga,,SPECIES
Setaria pumila,Setaria pumila,Setaria helvola,,SPECIES
Hordeum glaucum,Hordeum glaucum,Hordeum murinum,,SPECIES
Lycopodiella lateralis,Lycopodiella lateralis,Lateristachys lateralis,,SPECIES
