taxon_name,aus_native
Acacia havilandiorum,TRUE
Acacia havilandiorum,TRUE
Acacia helicophylla,TRUE
Acacia helmsiana,TRUE
Acacia hemignosta,TRUE
Acacia hemiteles,TRUE
Acacia hemsleyi,TRUE
Acacia hendersonii,TRUE
Acacia heterochroa,TRUE
Acacia heterochroa subsp. heterochroa,TRUE
Acacia heteroclita,TRUE
Acacia heteroclita subsp. heteroclita,TRUE
Acacia heteroclita subsp. valida,TRUE
Acacia heteroneura,TRUE
Acacia heteroneura var. heteroneura,TRUE
Acacia heteroneura var. jutsonii,TRUE
Acacia heteroneura var. petila,TRUE
Acacia heteroneura var. prolixa,TRUE
Acacia hexaneura,TRUE
Acacia hilliana,TRUE
Acacia hilliana x Acacia stellaticeps,TRUE
Acacia hippuroides,TRUE
Acacia hispidula,TRUE
Acacia hockingsii,TRUE
Acacia holosericea,TRUE
Acacia holotricha,TRUE
Acacia homaloclada,TRUE
Acacia homalophylla,TRUE
Acacia hopperiana,TRUE
Acacia horridula,TRUE
Acacia howittii,FALSE
Acacia hubbardiana,TRUE
Acacia huegelii,TRUE
Acacia humifusa,TRUE
Acacia hyaloneura,TRUE
Acacia hylonoma,TRUE
Acacia hypermeces,TRUE
Acacia hystrix,TRUE
Acacia idiomorpha,TRUE
Acacia imbricata,TRUE
Acacia imitans,TRUE
Acacia imparilis,TRUE
Acacia implexa,TRUE
Acacia improcera,TRUE
Acacia inaequilatera,TRUE
Acacia inaequiloba,TRUE
Acacia inamabilis,TRUE
Acacia incanicarpa,TRUE
Acacia inceana,TRUE
Acacia inceana subsp. conformis,TRUE
Acacia inceana subsp. inceana,TRUE
Acacia incognita,TRUE
Acacia incongesta,TRUE
Acacia incrassata,TRUE
Acacia incurva,TRUE
Acacia incurvaneura,TRUE
Acacia infecunda,TRUE
Acacia ingramii,TRUE
Acacia ingrata,TRUE
Acacia inophloia,TRUE
Acacia inops,TRUE
Acacia insolita,TRUE
Acacia insolita subsp. recurva,TRUE
Acacia intorta,TRUE
Acacia intricata,TRUE
Acacia irrorata,TRUE
Acacia irrorata subsp. irrorata,TRUE
Acacia irrorata subsp. velutinella,TRUE
Acacia islana,TRUE
Acacia isoneura,TRUE
Acacia iteaphylla,FALSE
Acacia ixiophylla,TRUE
Acacia ixodes,TRUE
Acacia jackesiana,TRUE
Acacia jacksonioides,TRUE
Acacia jamesiana,TRUE
Acacia jasperensis,TRUE
Acacia jennerae,TRUE
Acacia jensenii,TRUE
Acacia jibberdingensis,TRUE
Acacia johannis,TRUE
Acacia johnsonii,TRUE
Acacia jonesii,TRUE
Acacia jucunda,TRUE
Acacia julifera,TRUE
Acacia julifera subsp. gilbertensis,TRUE
Acacia juncifolia,TRUE
Acacia ulicifolia,TRUE
Acacia brownii,TRUE
Acacia kalgoorliensis,TRUE
Acacia karina,TRUE
Acacia keigheryi,TRUE
Acacia kelleri,TRUE
Acacia kempeana,TRUE
Acacia kenneallyi,TRUE
