taxon_name,mean_fires,mean_fri,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,warnings,messages,error
Bridelia tomentosa,4.124018838304553,5.00967643700038,4.82515889754444,5.208867259625481,4.685392142075637,1.2775545104936878e-298,151,637,NA,NA,NA
Bromus arenarius,0.05794392523364484,356.55161290322593,263.7164592497716,550.2563815655934,1.6548266280053168,1.0983132584113152e-19,512,535,NA,NA,NA
Brucea javanica,1.257668711656442,16.42721951219512,14.449230559082627,19.03264243254983,3.696717856067448,2.193136645209236e-51,103,163,NA,NA,NA
Brunonia australis,0.26036549420318333,79.3499924528302,75.2956713481534,83.86577363830696,1.6063652545389815,6.963793018011441e-149,4102,5089,NA,NA,NA
Brunoniella australis,0.3353484466834593,61.607561342013014,59.0189975759514,64.433609100969,3.3382216421710154,0,4796,5955,NA,NA,NA
Brunoniella pumilio,0.5278969957081544,39.13642276422765,36.269842031263146,42.49500845594281,0.986771156371358,0.6204743530598715,689,1165,NA,NA,NA
Buchanania obovata,6.256299938537179,3.3022713429610016,3.2575230966439324,3.3482661164340266,3.3604121032171563,0,282,3254,NA,NA,NA
Bulbine alata,0.043396226415094344,476.07826086956516,337.95856559824267,805.1222762257091,1.045532999095915,0.22662887397748652,508,530,NA,NA,NA
Bulbine bulbosa,0.17433193964733687,118.50955161626693,111.45535275437257,126.51702962743967,1.1825045027964736,7.166356588053681e-20,4687,5501,NA,NA,NA
Bulbine crassa,0.4999999999999998,41.32000000000002,13.959459459459461,-43.04166666666665,1.0000000000000004,0.31731050786291404,1,2,NA,NA,NA
Bulbine glauca,0.5297029702970297,39.002990654205604,34.39469207121646,45.037203108800135,0.874330372672248,0.9671806011019632,233,404,NA,NA,NA
Bulbine semibarbata,0.0728282168517309,283.6812556053812,250.76767082642525,326.54006640837844,1.1966208762633626,2.1256753141446517e-13,2864,3062,NA,NA,NA
Bulbophyllum globuliforme,NA,NA,NA,NA,NA,NA,1,1,NA,"Error: no valid set of coefficients has been found: please supply starting values
","Error: no valid set of coefficients has been found: please supply starting values
"
Bulbostylis barbata,3.0790450928381965,6.709872501722949,6.541576123838515,6.887057135556607,3.9068317698753767,0,602,1885,NA,NA,NA
Burchardia congesta,0.19464720194647198,106.14075000000003,87.06236753512107,135.92708602482773,1.082987804878049,0.11900660577900275,341,411,NA,NA,NA
Burchardia umbellata,0.28936511574604634,71.39768712871286,68.71733597629691,74.29562187672809,1.0782832080342706,2.2500942841955545e-7,6598,8726,NA,NA,NA
Bursaria incana,0.6888888888888888,29.990322580645167,26.468585448015382,34.59304759107668,3.4187384425724274,1.034308979358253e-83,220,315,NA,NA,NA
Bursaria longisepala,0.486682808716707,42.45064676616916,37.29473404423702,49.26084766062568,0.9634110998406031,0.6944121489451203,251,413,NA,NA,NA
